"1"	"0"	"图书、音像、电子书刊"	"1"	"1"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"2"	"1"	"电子书刊"	"1"	"1"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"3"	"2"	"电子书"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"4"	"2"	"网络原创"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"5"	"2"	"数字杂志"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"6"	"2"	"多媒体图书"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"7"	"1"	"音像"	"1"	"2"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"8"	"7"	"音乐"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"9"	"7"	"影视"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"10"	"7"	"教育音像"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"11"	"1"	"英文原版"	"1"	"3"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"12"	"11"	"少儿"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"13"	"11"	"商务投资"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"14"	"11"	"英语学习与考试"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"15"	"11"	"小说"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"16"	"11"	"传记"	"1"	"5"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"17"	"11"	"励志"	"1"	"6"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"18"	"1"	"文艺"	"1"	"4"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"19"	"18"	"小说"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"20"	"18"	"文学"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"21"	"18"	"青春文学"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"22"	"18"	"传记"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"23"	"18"	"艺术"	"1"	"5"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"24"	"1"	"少儿"	"1"	"5"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"25"	"24"	"少儿"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"26"	"24"	"0-2岁"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"27"	"24"	"3-6岁"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"28"	"24"	"7-10岁"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"29"	"24"	"11-14岁"	"1"	"5"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"30"	"1"	"人文社科"	"1"	"6"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"31"	"30"	"历史"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"32"	"30"	"哲学"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"33"	"30"	"国学"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"34"	"30"	"政治/军事"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"35"	"30"	"法律"	"1"	"5"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"36"	"30"	"宗教"	"1"	"6"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"37"	"30"	"心理学"	"1"	"7"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"38"	"30"	"文化"	"1"	"8"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"39"	"30"	"社会科学"	"1"	"9"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"40"	"1"	"经管励志"	"1"	"7"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"41"	"40"	"经济"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"42"	"40"	"金融与投资"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"43"	"40"	"管理"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"44"	"40"	"励志与成功"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"45"	"1"	"生活"	"1"	"8"	"1"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"46"	"45"	"生活"	"1"	"1"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"47"	"45"	"健身与保健"	"1"	"2"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"48"	"45"	"家庭与育儿"	"1"	"3"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
"49"	"45"	"旅游"	"1"	"4"	"0"	"2014/10/15 18:31:55"	"2014/10/15 18:31:55"
